group	name
F	follower
LREM	Damien Abad
LREM	Sabrina Agresti-Roubache
LR	Valérie Bazin-Malgras
LREM	Fanta Berete
MoDem	Anne Bergantz
LREM	Aurore Bergé
LR	Émilie Bonnivard
LFI	Louis Boyard
LREM	Yaël Braun-Pivet
LREM	Eléonore Caroit
LREM	Jean-René Cazeneuve
LR	Éric Ciotti
LR	Josiane Corneloup
LR	Christelle D'Intorni
PS	Arthur Delaporte
LR	Francis Dubois
LREM	Nicole Dubré-Chirat
LR	Pierre-Henri Dumont
MoDem	Maud Gatel
LR	Annie Genevard
LREM	Olga Givernet
MoDem	Perrine Goulet
LREM	Benjamin Haddad
LREM	Sacha Houlié
LREM	Caroline Janvier
LR	Philippe Juvin
LREM	Daniel Labaronne
LREM	Constance Le Grip
RN	Marine Le Pen
LREM	Marie Lebec
LREM	Sylvain Maillard
LR	Olivier Marleix
LREM	Sandra Marsaud
LR	Alexandra Martin
RN	Alexandra Masson
RN	Bryan Masson
LREM	Lysiane Métayer
LR	Maxime Minot
LR	Yannick Neuder
LREM	Astrid Panosyan-Bouvet
LR	Éric Pauget
LREM	Anne-Laurence Petel
LFI	François Piquemal
LREM	Claire Pitollat
LREM	Barbara Pompili
LREM	Natalia Pouzyreff
LR	Aurélien Pradié
LREM	Thomas Rudigoz
PS	Isabelle Santiago
LREM	Charles Sitzenstuhl
LREM	Violette Spillebout
LR	Michèle Tabarot
LREM	Prisca Thevenot
LR	Jean-Louis Thiériot
LREM	David Valence
LREM	Patrick Vignal
LREM	Caroline Yadan
LREM	Jean-Marc Zulesi
LR	Catherine Belrhiti
LR	Alexandra Borchio Fontimp
LR	Valérie Boyer
LR	Dominique Estrosi Sassone
LR	Gérard Larcher
LR	Bruno Retailleau
LR	Thibault Bazin
LR	Anne-Laure Blin
LR	Pierre Cordier
LR	Meyer Habib
LR	Mansour Kamardine
LR	Véronique Louwagie
PS	Cécile Untermaier
LR	Stéphane Viry
LR	Philippe Bas
LR	Yves Bouloux
LR	Max Brisson
LR	Alain Cadec
LR	Pierre Charon
LR	Guillaume Chevrollier
LR	Marta de Cidrac
LR	Alain Houpert
LR	Jean-Raymond Hugonet
LR	Florence Lassarade
LR	Ronan Le Gleut
LR	René-Paul Savary
LREM	Damien Adam
LFI	Gabriel Amard
LREM	Pieyre-Alexandre Anglade
LFI	Clémentine Autain
RN	Philippe Ballard
EELV	Delphine Batho
EELV	Julien Bayou
LREM	Belkhir Belhaddad
LFI	Ugo Bernalicis
RN	Emmanuel Blairy
LFI	Manuel Bompard
LR	Xavier Breton
LFI	Aymeric Caron
LREM	Lionel Causse
PCF	André Chassaigne
RN	Sébastien Chenu
LFI	Éric Coquerel
LFI	Alexis Corbière
LFI	Jean-François Coulomme
LREM	Frédéric Descrozaille
RN	Jocelyn Dessigny
PCF	Pierre Dharréville
LR	Fabien Di Filippo
RN	Edwige Diaz
LR	Julien Dive
LR	Virginie Duby-Muller
LREM	Nicolas Dupont-Aignan
LREM	Philippe Fait
RN	Frédéric Falcon
PCF	Elsa Faucillon
LFI	Emmanuel Fernandes
LREM	Marc Ferracci
MoDem	Estelle Folest
RN	Grégoire de Fournas
EELV	Charles Fournier
LREM	Jean-Luc Fugit
LREM	Hadrien Ghomi
RN	Christian Girard
LREM	Joël Giraud
LR	Philippe Gosselin
LFI	Clémence Guetté
MoDem	Frantz Gumbs
EELV	Hubert Julien-Laferrière
PCF	Sébastien Jumel
LFI	Bastien Lachaud
MoDem	Mohamed Laqhila
LREM	Michel Lauzzana
LREM	Pascal Lavergne
LREM	Vincent Ledoux
RN	Gisèle Lelouis
RN	Christine Loir
LREM	Christophe Marion
MoDem	Bruno Millienne
LREM	Karl Olive
MoDem	Hubert Ott
LFI	Mathilde Panot
MoDem	Frédéric Petit
EELV	Marie Pochon
LFI	Thomas Portes
PS	Dominique Potier
LFI	Jean-Hugues Ratenon
LREM	Rémy Rebeyrotte
LREM	Robin Reda
EELV	Sandra Regol
LREM	Charles Rodwell
LREM	Xavier Roseren
PCF	Fabien Roussel
RN	Anaïs Sabatini
EELV	Eva Sas
RN	Aurélien Taché
LREM	Jean Terlier
LFI	Aurélie Trouvé
LFI	Paul Vannier
LREM	Éric Woerth
LR	Jean-Claude Anglars
LR	Jean Bacci
LR	Jérôme Bascher
LR	Bruno Belin
LR	Martine Berthet
LR	Étienne Blanc
LR	François-Noël Buffet
LR	François Calvet
LR	Didier Mandelli
LR	Cyril Pellevat
LR	Philippe Pemezec
LR	Cédric Perrin
LR	Marie-Pierre Richer
LR	Stéphane Sautarel
LR	Philippe Tabarot
LREM	Xavier Batut
LREM	Florent Boudié
LFI	Sophia Chikirou
LREM	François Cormier-Bouligeon
MoDem	Laurent Esquenet-Goxes
MoDem	Olivier Falorni
LFI	Caroline Fiat
LFI	Raquel Garrido
LREM	Anne Genetet
LREM	Guillaume Gouffier Valente
LREM	Marie Guévenoux
LREM	Nadia Hai
LREM	Monique Iborra
LREM	Jean-Michel Jacques
RN	Alexandre Loubet
LFI	Danièle Obono
LREM	Jean-Pierre Pont
LREM	Éric Poulliat
LFI	Loïc Prud'homme
LREM	Stéphanie Rist
EELV	Sandrine Rousseau
LFI	Danielle Simonnet
LFI	Bénédicte Taurine
LREM	Stéphane Travert
LREM	Stéphane Vojetta
RN	Franck Allisio
RN	Romain Baubry
RN	Christophe Bentz
